CASE_CODE,PROCEDURE_CODE,CASE_TITLE,FIRM NAME,MEMBER_STATE,SECTOR,CASE_CODE,AID_INSTRUMENT,CASE_TYPE,START_DATE,END_DATE,NOTIFICATION_DATE,DECISIONS,LAST_DECISION,OBJECTIVES,DECISION_DATE,OJ_INFO,RELATED_CASES,BvD_ID_NUMBER,STATUS(0=SURVIVAL / 1=M&A / 2=DEATH),DEAL_TYPE,ACQUIROR,DATE_RACHAT_ou_death
SA.38544,"2014/C, 2014/N",Dispositif exceptionnel et temporaire d'accompagnement des restructurations - KEM ONE SAS,KEM ONE SAS,France,C.20 - Manufacture of chemicals and chemical products,SA.38544,"Debt write-off, Direct grant, Repayable advances, Soft loan",Ad Hoc Case,28-07-2015,31-12-2016,02-04-14,"Conditional decision, Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,Restructuring firms in difficulty,28-07-15,"JOCE C/460/2014, JOCE L/86/2016",,FR538695040,1,Acquisition 100%,Open Gate Capital et M. Alain de Krassny,2013
C29/2002,"C29/2002, NN23/2002",CR29/02 - Avance de trésorerie par l'Etat français à Bull,Bull,France,C.27 - Manufacture of electrical equipment,C29/2002,Soft loan,Ad Hoc Case,31-12-2001,17-06-2002,09-04-02,"Article 10(3) - information injunction, Article 23 - referral to Court of Justice (non-compliance with decisions), Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision, Article 7(4) - conditional decision",Conditional decision,Rescuing firms in difficulty,01-10-03,"JOCE C/128/2002, JOCE L/209/2003","C29/2002, C29/2002",FR542046065,0,,,
C10/2004,"C10/2004, N94/2004",Restructuring aid in favour of BULL,BULL,France,"C.27 - Manufacture of electrical equipment, S.96.0 - Other personal service activities",C10/2004,Direct grant,Ad Hoc Case,,,16-03-04,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision",Conditional Decision,Restructuring firms in difficulty,01-12-04,"JOCE C/102/2004, JOCE L/342/2005",,FR542046065,1,Acquisition 100%,Atos SE,16-12-2004
SA.35611,"2013/C, 2013/N",Aide à la restructuration du groupe PSA,PSA,France,"K.64 - Financial service activities, except insurance and pension funding",SA.35611,"Guarantee, Repayable advances",Scheme,29-07-2013,,22-10-12,"Decision to initiate the formal investigation procedure, Positive decision",Positive decision,Restructuring firms in difficulty,29-07-13,"JOCE C/137/2013, JOCE L/325/2016",,FR552100554,0,,,
C4/2010,"C4/2010, NN64/2009",# - § - Intervention du FMEA en faveur de TREVES,TREVES,France,C.29.1 - Manufacture of motor vehicles,C4/2010,"Provision of risk capital, Tax deferment",Ad Hoc Case,25-05-2009,,30-04-09,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,20-04-11,"JOCE C/133/2010, JOCE L/274/2011",,FR562011452,0,,,
N561/2006,N561/2006,Restructuration aid for Constructions Mécaniques de Normandie (CMN),Constructions Mécaniques de Normandie (CMN),France,C.30.1 - Building of ships and boats,N561/2006,Direct grant,Ad Hoc Case,,,25-08-06,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,10-07-07,JOCE C/191/2007,,FR562110965,0,,,
NN27/2002,NN27/2002,CGMF à la SNCM,SNCM,France,H.50 - Water transport,NN27/2002,x,Scheme,,,20-12-01,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,17-07-02,JOCE C/148/2003,,FR775558463,1,Institutional Buy-out 75%,"Butler Capital, Connex",01/05/2006
C14/2001,"C14/2001, NN16/2001",Aide à la société Nationale Maritime Corse-Méditerannée,Nationale Maritime Corse-Méditerannée,France,H.50.1 - Sea and coastal passenger water transport,C14/2001,x,Ad Hoc Case,,,28-02-01,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,30-10-01,"JOCE C/117/2001, JOCE L/050/2002",,FR775558463,1,Acquisition,Rocca,
C3/2003,"C3/2003, NN42/2002",Aide au sauvetage de l'entreprise AirLib,AirLib,France,H.51 - Air transport,C3/2003,Soft loan,Ad Hoc Case,,,21-01-03,"Article 4(4) - decision to initiate the formal investigation procedure, Other",Other,Rescuing firms in difficulty,08-03-06,"JOCE C/088/2003, JOCE L/307/2006",,FR819830159,2,,,
NN42/2005,NN42/2005,Rescue aid in favour of MG Rover,MG Rover,United Kingdom,C.33.20 - Installation of industrial machinery and equipment,NN42/2005,Soft loan,Ad Hoc Case,10-04-2005,17-04-2005,11-04-05,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,07-06-05,JOCE C/187/2005,,GB01595268,1,Acquistion,,
SA.32820,2011/NN,Aid to Forensic Science Service,Forensic Science Service,United Kingdom,"M.74 - Other professional, scientific and technical activities",SA.32820,Soft loan,Ad Hoc Case,03-02-2011,31-03-2012,05-04-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Rescuing firms in difficulty, closure aid",07-12-11,JOCE C/29/2012,,GB02831581,0,,,
NN170/2001,NN170/2001,Aid towards the rescue of Railtrack PLC in administration,Railtrack PLC,United Kingdom,H.49.2 - Freight rail transport,NN170/2001,x,Ad Hoc Case,,,28-11-01,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,13-02-02,JOCE C/098/2002,,GB02904587,1,Acquisition 100%,,
N420/2008,N420/2008,Restructuring of London & Continetal Railways (LCR).,London & Continetal Railways (LCR).,United Kingdom,"F.42.12 - Construction of railways and underground railways, H.49.10 - Passenger rail transport, interurban",N420/2008,Direct grant,Individual Application,01-01-2009,,26-08-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Execution of an important project of common Europe, Restructuring firms in difficulty, Sectoral development",13-05-09,JOCE C/183/2009,,GB02966054,1,Nationalisé 100%,,
NN70/2007,NN70/2007,€ - Northern Rock,Northern Rock,United Kingdom,K - Financial and insurance activities,NN70/2007,"Guarantee, Other forms of equity intervention, Soft loan",Ad Hoc Case,17-09-2007,17-03-2008,20-09-07,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,05-12-07,JOCE C/43/2008,,GB03273685,1,Acquisition 100%,Virgin Money Holdings,01/01/2012
NN41/2008,NN41/2008,€ - $ - Rescue aid to Bradford & Bingley.,Bradford & Bingley,United Kingdom,K - Financial and insurance activities,NN41/2008,"Direct grant, Guarantee, Soft loan",Ad Hoc Case,29-09-2008,29-03-2009,23-10-08,Decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,01-10-08,JOCE C/290/2008,,GB03938288,1,Acquisition 100%,Santander Group,29/09/2008
NN47/2007,NN47/2007,Funding provided to METRONET (in administration) - Rescue aid,METRONET (in administration),United Kingdom,"H.49.1 - Passenger rail transport, interurban",NN47/2007,x,Individual Application,,,30-07-07,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,28-11-07,JOCE C/30/2008,,GB04975343,0,,,
NN15/2009,NN15/2009,Rescue Aid to Modec Limited,Modec Limited,United Kingdom,"C - Manufacturing, C.29.10 - Manufacture of motor vehicles",NN15/2009,Provision of risk capital,Individual Application,05-02-2009,31-03-2011,12-02-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,29-04-09,JOCE C/172/2009,,GB05158565,2,,,
NN41/2009,NN41/2009,Rescue Aid to LDV,LDV,United Kingdom,"C.29 - Manufacture of motor vehicles, trailers and semi-trailers",NN41/2009,Guarantee,Individual Application,18-05-2009,,25-05-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,07-08-09,JOCE C/212/2009,,GB05590066,1,Acquisition 100%,,
SA.31479,"2011/C, 2011/N",UK - Royal Mail,Royal Mail,United Kingdom,H.53 - Postal and courier activities,SA.31479,Debt write-off,Ad Hoc Case,01-03-2010,01-03-2015,25-08-10,"Conditional decision, Decision to initiate the formal investigation procedure",Decision to initiate the formal investigation procedure,"Other, Rescuing firms in difficulty",21-03-12,"JOCE C/265/2011, JOCE L/279/2012",N508/2010,GB08680755,0,,,
SA.54766,2019/NN,Rescue aid to Wrights Group Ltd,Wrights Group Ltd,United Kingdom,C.29.10 - Manufacture of motor vehicles,SA.54766,Loan/ Repayable advances,Ad Hoc Case,26-06-2019,,25-06-19,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,17-09-19,JOCE C/52/2020,,GBNI036890,0,,,
SA.35403,2012/NN,HTT (Manufacturing) Ltd. Restructuring Plan September 2012,HTT,United Kingdom,"C.13.10 - Preparation and spinning of textile fibres
C.13.30 - Finishing of textiles",SA.35403,Direct grant,Ad Hoc Case,29-08-2012,,12-09-12,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,06-03-13,JOCE C/96/2013,,GBSC257602,,,,
SA.34645,2012/NN,HTT (Manufacturing) Ltd rescue loan February 2012,HTT (Manufacturing) Ltd,United Kingdom,"C.13.10 - Preparation and spinning of textile fibres, C.13.30 - Finishing of textiles",SA.34645,Soft loan,Ad Hoc Case,22-02-2012,21-08-2012,13-04-12,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,11-07-12,JOCE C/305/2012,,GBSC257602,,,,
NN101/2002,NN101/2002,Aid in favour of British Energy plc,British Energy plc,United Kingdom,x,NN101/2002,"Guarantee, Soft loan",Ad Hoc Case,,,16-09-02,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,27-11-02,,,GBSC270184,1,Acquisition 100%,Lake Acquisitions Limited (EDF),03/02/2011
SA.15526,"C16/2004, CR16/2004, NN29/2004",Hellenic Shipyards,Hellenic Shipyards,Greece,C.30.1 - Building of ships and boats,SA.15526,"Debt write-off, Direct grant, Guarantee, Soft loan",Ad Hoc Case,,,20-04-04,"Corrigendum, Decision finding that the measures do not constitute aid (after formal investigation procedure), Decision to extend proceedings, Decision to initiate the formal investigation procedure, Negative decision with recovery, Positive decision, Referral to Court of Justice (non-compliance with decisions), Referral to the Court of Justice (non-compliance with Court judgment) – ex article 228(2) EC Treaty",Referral to the Court of Justice (non-compliance with Court judgment),Restructuring firms in difficulty,22-07-16,"JOCE C/202/2004, JOCE C/236/2006, JOCE L/225/2009",,"GR00023930100
    ",1,100%,,
SA.34572,"2013/C, 2013/NN, 2014/CR",State aid to Larco General Mining & Metallurgical Company S.A.,Larco General Mining & Metallurgical Company S.A.,Greece,"B.07 - Mining of metal ores
B.09.90 - Support activities for other mining and quarrying",SA.34572,"Guarantee, Other forms of equity intervention, Other forms of tax advantage , Tax deferment",Ad Hoc Case,,,28-03-12,"Corrigendum, Decision finding that the measures do not constitute aid (after formal investigation procedure), Decision to initiate the formal investigation procedure, Negative decision with recovery, Referral to the Court of Justice (non-compliance with Court judgment) – ex article 228(2) EC Treaty, Referral to the Court of Justice (non-implementation of Commission decision) (ex Article 88(2) EC)",Referral to the Court of Justice,Rescuing firms in difficulty,27-11-19,"JOCE C/136/2013, JOCE L/254/2014",,GR000584001000,0 ou 2,,,
SA.26534,"2012/CR, C27/2010, NN6/2009",United Textiles SA,United Textiles SA,Greece,C.13 - Manufacture of textiles,SA.26534,"Guarantee, Tax deferment",Ad Hoc Case,,,11-09-08,"Decision finding that the measures do not constitute aid (after formal investigation procedure), Decision to initiate the formal investigation procedure, Information injunction, Negative decision with recovery, Referral to the Court of Justice (non-implementation of Commission decision) (ex Article 88(2) EC)",Referral to Court of Justice (non-compliance with decisions),Rescuing firms in difficulty,25-04-16,"JOCE C/357/2010, JOCE L/279/2012",,GR000685601000,0,,,
SA.32544,"2011/C, 2011/N",Restructuring of the Greek Railway Group - TRAINOSE S.A.,TRAINOSE S.A.,Greece,"H.49.1 - Passenger rail transport, interurban
H.49.2 - Freight rail transport
H.49.31 - Urban and suburban passenger land transport",SA.32544,Other,Ad Hoc Case,,,09-02-11,"Decision to initiate the formal investigation procedure, Positive decision",Positive decision,Restructuring firms in difficulty,16-06-17,"JOCE C272/2011, JOCE L/186/2018",,GR006780801000,1,Acquisition 100%,Derrovie dello Stato Italiane,14/09/2017
C8/2010,"C8/2010, N21/2009, NN15/2010",Restructuring aid to Varvaressos,Varvaressos,Greece,C.13.1 - Preparation and spinning of textile fibres,C8/2010,"Direct grant, Guarantee",Individual Application,15-01-2009,31-12-2011,04-02-10,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision",Conditional decision,"Rescuing firms in difficulty, Restructuring firms in difficulty",14-12-10,"JOCE C/126/2010, JOCE L/2011/184",,GR020951226,not found,,,
N636/2007,N636/2007,Rescue aid for Kalofolias,Kalofolias,Greece,J.58 - Publishing activities,N636/2007,Soft loan,Ad Hoc Case,15-11-2007,31-12-2008,05-11-07,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,04-07-08,JOCE C/203/2008,,GR094420067,0,,,
N672/2008,N672/2008,Restructuring aid to Kalofolias,Kalofolias,Greece,"C.18.1 - Printing and service activities related to printing, J.58.13 - Publishing of newspapers",N672/2008,Direct grant,Ad Hoc Case,01-01-2009,31-12-2012,30-12-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,27-01-10,JOCE C/70/2010,N636/2007,GR094420067,0,,,
SA.16203,"2011/CR, C19/2002, NN133/2000",Aid granted by Greece to Olympic Airways,Olympic Airways,Greece,H.51.1 - Passenger air transport,SA.16203,x,Ad Hoc Case,,,06-03-02,"Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,Restructuring firms in difficulty,11-12-02,"JOCE C/098/2002, JOCE L/132/2003",,GR998939913,1,Institutional Buy-out 100%,Marfin Investment Group Holdings,30/09/2009
SA.36133,2013/HR,Pre-accession Croatia – Brodosplit,Brodosplit,Croatia,x,SA.36133,Direct grant/ Interest rate subsidy,Ad Hoc Case,01-06-2013,,25-01-13,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,20-02-13,,,HR18556905592,1,Acquisition 99.78%,DIV Grupa Doo,01/03/2013
SA.48121,2018/N,Restructuring of Jadroplov Split,Jadroplov Split,Croatia,"	H.50.1 - Sea and coastal passenger water transport
H.50.20 - Sea and coastal freight water transport",SA.48121,"Direct grant, Guarantee",Ad Hoc Case,02-05-2018,31-12-2019,01-05-17,Decision not to raise objections,Decision not to raise objections,"Restructuring undertakings in difficulty, Sectorial development",02-05-18,JOCE C/198/2018,,HR54431828108,0,,,
SA.36142,2013/HR,Pre-accession Croatia – Brodotrogir,Brodotrogir,Croatia,x,SA.36142,Direct grant/ Interest rate subsidy,Ad Hoc Case,01-06-2013,,29-01-13,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,20-03-13,,,HR62738802292,0,,,
SA.30584,"C38/2010, NN69/2010",Malév Hungarian Airlines,Malév Hungarian Airlines,Hungary,H.51 - Air transport,SA.30584,"Debt write-off, Direct grant, Guarantee, Other forms of equity intervention",Ad Hoc Case,,,10-03-10,"Corrigendum, Decision to initiate the formal investigation procedure, Negative decision with recovery",Negative decision with recovery,"Rescuing firms in difficulty, Restructuring firms in difficulty",19-12-12,"JOCE C/156/2011, JOCE L/92/2013",,HU10799079,2,,,03/02/2012
SA.20616,"C59/2007, CR59/2007, NN13/2006",Ixfin,Ixfin,Italy,	C.27 - Manufacture of electrical equipment,SA.20616,Guarantee,Ad Hoc Case,,,23-02-06,"Decision to initiate the formal investigation procedure, Negative decision with recovery, Referral to Court of Justice (non-compliance with injunction)",Referral to Court of Justice (non-compliance with injunction),Rescuing firms in difficulty,20-12-11,"JOCE C/30/2008, JOCE L/167/2010",,IT*908002175,0,,,
SA.36092,2013/N,Rescue aid to the RDB group,RDB group,Italy,F - Construction,SA.36092,Guarantee,Individual Application,01-05-2013,01-11-2013,17-01-13,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,15-03-13,JOCE C/140/2013,,IT00110990330,,,,
N233/2000,N233/2000,Participation of the Region Emilia - Romagna into the capital of the spas - Terme di Castrocaro spa,Terme di Castrocaro spa,Italy,I.55 - Accommodation,N233/2000,Debt write-off,Ad Hoc Case,,,17-04-00,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,26-07-00,JOCE C/380/2000,,IT00124390402,0,,,
N522/2010,N522/2010,Rescue aid to Mariella Burani Fashion Group, Mariella Burani Fashion Group,Italy,"C.14 - Manufacture of wearing apparel, C.15 - Manufacture of leather and related products",N522/2010,Guarantee,Ad Hoc Case,31-01-2011,31-07-2011,12-11-10,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,17-01-11,JOCE C/39/2011,,IT00145630356,1,Acquisition 100%,Some Hong Kong investment company ,07/11/2015
SA.34873,2012/N,rescue aid for SACAIM SPA in AS,SACAIM SPA,Italy,F - Construction,SA.34873,Guarantee,Individual Application,11-07-2012,,23-05-12,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,10-07-12,JOCE C/284/2012,,IT00184310274,0,,,
SA.37640,2013/N,Rescue aid for ACC Compressors S.p.A. in A.S.,ACC Compressors S.p.A.,Italy,C.28.13 - Manufacture of other pumps and compressors,SA.37640,Guarantee,Ad Hoc Case,,,18-12-13,Decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,18-12-13,JOCE C/10/2014,,IT00198140261,1,Acquisition 100%,WANBAO GROUP COMPRESSOR,01/07/2014
N579/2009,N579/2009,Rescue aid to ITTIERRE SpA,ITTIERRE SpA,Italy,"C.13 - Manufacture of textiles, C.13.3 - Finishing of textiles, C.14 - Manufacture of wearing apparel",N579/2009,Guarantee,Ad Hoc Case,10-11-2009,10-05-2010,21-10-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,09-11-09,JOCE C/108/2010,,IT00230890949,0,,,
SA.49901,2017/N,Restructuring aid to Aerdorica S.p.A – Airport Marche/Ancona,Aerdorica S.p.A – Airport Marche/Ancona,Italy,	H.51 - Air transport,SA.49901,"Direct grant, Other forms of equity intervention",Ad Hoc Case,02-03-2019,,20-12-17,Decision not to raise objections,Decision not to raise objections,Restructuring undertakings in difficulty,22-02-19,JOCE C/200/2019,,IT00390120426,0,,,
SA.48050,2017/N,Rescue aid to airport Marche Ancona,Aerdorica,Italy,H.51 - Air transport,SA.48050,Soft loan,Ad Hoc Case,07-06-2017,,19-04-17,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,07-06-17,JOCE C/422/2017,,IT00390120426,0,,,
C64/1998,C64/1998,Aid granted to Istituto Poligrafico e Zecca dello Stato and its controlled companies,Istituto Poligrafico e Zecca dello Stato and its controlled companies,Italy,"C.17 - Manufacture of paper and paper products, S.96.0 - Other personal service activities",C64/1998,"Debt write-off, Interest subsidy",Ad Hoc Case,,,28-10-98,"Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,25-04-01,"JOCE C/133/1999, JOCE C/272/2000, JOCE L/126/2002",,IT00399810589,0,,,
C2/2005,"C2/2005, N501/2004",Alitalia - Plan industriel de restructuration,Alitalia,Italy,H.51 - Air transport,C2/2005,x,Ad Hoc Case,,,15-10-04,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(4) - conditional decision, Corrigendum",Conditional Decision,Restructuring firms in difficulty,22-12-05,"JOCE C/044/2005, JOCE L/069/2006",,IT0047660582,1,Acquisition 100% -- Privatisation ,Alitalia - Compagnia aerea italiana spa,12-12-2008
SA.52170,2018/N,Rescue aid to Condotte in A.S.,"Società Italiana per Condotte d'Acqua
S.p.A. in A. S.",Italy,	F - Construction,SA.52170,Guarantee,Ad Hoc Case,01-01-2019,,05-10-18,Decision not to raise objections,Decision not to raise objections,Rescuing undertakings in difficulty,12-12-18,JOCE C/211/2019,,IT00481000586,0,,,
C20/2010,"C20/2010, NN32/2010",Société de gestion de l'aéroport de Stretto – SOGAS S.P.A..,SOGAS S.P.A..,Italy,"H - Transportation and storage
H.51 - Air transport",C20/2010,Direct grant,Individual Application,31-12-2009,,27-10-08,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Rescuing firms in difficulty,11-06-14,"JOCE C/292/2010, JOCE L/367/2014",,IT00607320801,0,,,
SA.38879,2014/N,Aiuto al salvataggio della Società Bernardi Group SpA in A.S.,Società Bernardi Group SpA,Italy,"G.47 - Retail trade, except of motor vehicles and motorcycles",SA.38879,Guarantee,Individual Application,01-10-2014,30-04-2015,11-06-14,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,11-08-14,JOCE C/169/2015,,IT00636420226,0,,,
N621/2008,N621/2008,Rescue aid to Merloni,Merloni,Italy,"C.25.29 - Manufacture of other tanks, reservoirs and containers of metal, C.27.51 - Manufacture of electric domestic appliances",N621/2008,Guarantee,Individual Application,01-02-2009,01-08-2009,08-12-08,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,28-01-09,JOCE C/52/2009,,IT00693740425,0,,,
N357/2004,N357/2004,FINMEK - Sauvetage - Italie,FINMEK,Italy,C.27 - Manufacture of electrical equipment,N357/2004,Guarantee,Ad Hoc Case,,,20-08-04,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-12-04,JOCE C/138/2005,,IT00728150327,2,,,2003
N418/2010,N418/2010,Aid for rescuingTirrenia di Navigazione S.p.A. in A.S.,Tirrenia di Navigazione S.p.A. in A.S,Italy,H.50 - Water transport,N418/2010,Guarantee,Ad Hoc Case,01-11-2010,,21-09-10,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,16-11-10,JOCE C/102/2011,,IT00832450639,1,Acquisition 100%,,
N523/2010,N523/2010,Ristrutturazione Mobilificio Fogliense S.r.l.,Mobilificio Fogliense S.r.l.,Italy,C.31.0 - Manufacture of furniture,N523/2010,Guarantee,Individual Application,01-01-2011,31-12-2013,12-11-10,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,10-05-11,JOCE C/206/2012,,IT01201520416,2,Liquidation judiciaire en 11/2012,,
SA.33238,2011/N,Rescue aid to FADALTI,FADALTI,Italy,"C.23.61 - Manufacture of concrete products for construction purposes, G.46.73 - Wholesale of wood, construction materials and sanitary equipment",SA.33238,Guarantee,Ad Hoc Case,22-08-2011,22-02-2012,24-06-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,08-08-11,JOCE C/23/2012,,IT01498640935, ,,,
SA.32054,2010/N,Agile S.r.l. in Amministrazione Straordinaria,Agile S.r.l.,Italy,"J.62.0 - Computer programming, consultancy and related activities",SA.32054,Guarantee,Ad Hoc Case,01-03-2011,01-09-2011,08-12-10,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,14-02-11,JOCE C/111/2011,,IT01572180766,0,,,
SA.34437,2012/N,Aiuto di Stato al salvataggio di Valtur S.p.A. in Amministrazione Straordinaria,Valtur S.p.A.,Italy,"I.55.2 - Holiday and other short-stay accommodation, N.79.1 - Travel agency and tour operator activities",SA.34437,Guarantee,Ad Hoc Case,31-03-2012,,05-03-12,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,06-06-12,JOCE C/220/2012,,IT01623300181,1,Acquisition 100%,,
SA.39870,2014/N,Rescue aid for Mabo Prefabbricati S.p.A. in A.S.,Mabo Prefabbricati S.p.A. in A.S.,Italy,C.23 - Manufacture of other non-metallic mineral products,SA.39870,Guarantee,Ad Hoc Case,,,13-11-14,Decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,13-02-15,JOCE C/116/2015,,IT01706330519,surement 2,,,
SA.23011,"C39/2007, N188/2007",Legler,Legler,Italy,C.13 - Manufacture of textiles,SA.23011,"Guarantee, Other forms of equity intervention",Individual Application,,,05-04-07,"Decision to initiate the formal investigation procedure, Negative decision with recovery, Withdrawal of notification (after formal investigation procedure)",Withdrawal of notification (after formal examination procedure),"Employment, Regional development, Restructuring firms in difficulty",23-03-11,"JOCE C/289/2007, JOCE L/27/2012",,IT02247980168,0,,,
NN5/2007,NN5/2007,Rescue aid to Legler,Legler,Italy,C.13 - Manufacture of textiles,NN5/2007,Guarantee,Ad Hoc Case,,,10-10-06,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Rescuing firms in difficulty",22-05-07,JOCE C/159/2007,,IT02247980168,2,,,
SA.21420,"2012/CR, 2014/C-16, 2014/NN-26, C14/2010, NN25/2010",Aid to SEA Handling / Setting-up of Airport Handling,SEA Handling,Italy,H - Transportation and storage,SA.21420,Direct grant,Ad Hoc Case,,,19-07-06,"Corrigendum, Decision finding that the measures do not constitute aid (after formal investigation procedure), Decision to initiate the formal investigation procedure, Negative decision with recovery, Other, Referral to Court of Justice (non-compliance with injunction)",Referral to the Court of Justice (non-compliance with injunction),Restructuring firms in difficulty,02-06-17,"JOCE C/29/2011, JOCE C/44/2015, JOCE L/201/2015, JOCE L/317/2017",,IT02457860126,0,,,
SA.38129,2014/N,Rescue aid for Franco Tosi Meccanica SpA in A S,Franco Tosi Meccanica SpA,Italy,"C.25.3 - Manufacture of steam generators, except central heating hot water boilers",SA.38129,Guarantee,Ad Hoc Case,,01-09-2014,09-01-14,Decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,11-03-14,JOCE C/141/2014,,IT02560670123,0,,,
SA.32770,2011/N,Restructuring aid to Keller,Keller,Italy,C.30.2 - Manufacture of railway locomotives and rolling stock,SA.32770,Guarantee,Ad Hoc Case,01-04-2011,01-04-2014,23-03-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,25-08-11,JOCE C/206/2012,,IT02579810927,2,,,12/11/2014
SA.33981,2011/N,Aiuto al salvatggio alla societa ABBANOA spa,ABBANOA,Italy,E - Water supply; sewerage; waste managment and remediation activities,SA.33981,Guarantee,Ad Hoc Case,01-02-2012,01-07-2012,30-11-11,Article 4(3) - decision not to raise objections,Decision not to raise objections,Rescuing firms in difficulty,25-01-12,JOCE C/368/2012,,IT02934390929,0,,,
SA.35205,2013/N,Restructuring aid to Abbanoa Spa,Abbanoa Spa,Italy,E - Water supply; sewerage; waste managment and remediation activities,SA.35205,"Guarantee, Provision of risk capital",Individual Application,01-10-2013,01-12-2017,26-07-12,Decision not to raise objections,Decision not to raise objections,Restructuring firms in difficulty,31-07-13,JOCE C/279/2013,,IT02934390929,0,,,
C60/2007,"C60/2007, NN62/2007",Aid to Fluorite di Silius SpA,Fluorite di Silius SpA,Italy,B.08 - Other mining and quarrying,C60/2007,Direct grant,Ad Hoc Case,23-05-2007,,01-10-07,"Article 4(4) - decision to initiate the formal investigation procedure, Article 7(3) - positive decision",Positive decision,Restructuring firms in difficulty,10-12-08,"JOCE C/30/2008, JOCE L/71/2009","C16/2006, C16/2006, C16/2006",IT03075630925,1,?,I.GE.A. SpA,31/12/2019
N604/2009,N604/2009,Modification of previously approved restructuring aid to Fiem,Fiem,Italy,C.29.31 - Manufacture of electrical and electronic equipment for motor vehicles,N604/2009,Guarantee,Ad Hoc Case,14-12-2009,01-01-2014,03-11-09,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Restructuring firms in difficulty",15-12-09,JOCE C/185/2010,"N289/2007, NN88/2006",IT03246720274,Pas trouvé,,,
NN88/2006,NN88/2006,Rescue aid to Fiem,Fiem,Italy,C.27.32 - Manufacture of other electronic and electric wires and cables,NN88/2006,Guarantee,Ad Hoc Case,28-11-2006,28-05-2006,13-12-06,Article 4(3) - decision not to raise objections,Decision not to raise objections,"Employment, Regional development, Rescuing firms in difficulty",22-05-07,JOCE C/152/2007,,IT03246720274,Pas trouvé,,,
